"Country","World.region","survey","year","Nutrition","Child.mortality","Years.of.schooling","School.attendance","Cooking.fuel","Sanitation","Drinking.water","Electricity","Housing","Assets","Sample.size"
"Afghanistan","South Asia","DHS","2015-2016",NA,8.15928503870964,34.5833241939545,48.6781924962997,68.7875211238861,74.101060628891,40.4618203639984,28.7752866744995,91.4365112781525,16.7320445179939,199117
"Albania","Europe and Central Asia","DHS","2017-2018",5.41356727480888,0.222030514851212,3.24312560260296,2.48391609638929,22.5546613335609,3.99362780153751,19.0666779875755,0,7.08765164017677,0.464609591290355,51125
"Algeria","Arab States","MICS","2012-2013",6.84754922986031,1.42486672848463,5.81448301672936,3.04472185671329,0.361016113311052,12.4107301235199,19.4643318653107,1.19973914697766,10.126119852066,0.670197512954474,143005
"Angola","Sub-Saharan Africa","DHS","2015-2016",36.6033166646957,7.7068030834198,32.5643450021744,26.9719809293747,45.2395409345627,65.3885245323181,56.6109418869019,54.8630654811859,55.6314527988434,32.2100698947906,32814
"Armenia","Europe and Central Asia","DHS","2015-2016",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,2.72242929786444,23.4626576304436,2.12025418877602,0.0400928693125024,7.1965828537941,0.327493203803897,27245
"Bangladesh","South Asia","DHS","2014",33.8471472263336,2.76488363742828,27.8894543647766,11.1948870122433,83.884984254837,52.0504355430603,5.91205283999443,38.1160974502563,69.3407297134399,39.2132073640823,74510
"Barbados","Latin America and the Caribbean","MICS","2012",2.45751366019249,NA,1.71929113566875,0.398698169738054,0.0128230691188946,4.1573379188776,0.321894115768373,0.842511374503374,9.3828871846199,0.408559245988727,7688
"Belize","Latin America and the Caribbean","MICS","2015-2016",9.47499945759773,3.40842381119728,1.98252405971289,5.33238537609577,15.0870248675346,13.3156955242157,4.27082031965256,8.62930789589882,17.4322083592415,3.3574640750885,18169
"Benin","Sub-Saharan Africa","DHS","2017-2018",38.5444283485413,10.8932033181191,46.1449325084686,37.4925553798676,95.8809673786163,87.3153328895569,45.3344643115997,65.6361520290375,49.751028418541,20.5722823739052,71964
"Bhutan","South Asia","MICS","2010",17.3585489392281,17.1640381217003,40.4373973608017,10.8398631215096,38.9488041400909,41.1766678094864,4.26669828593731,27.8866112232208,53.828227519989,25.6667613983154,62735
"Bolivia","Latin America and the Caribbean","DHS","2008",14.9777799844742,3.81595604121685,15.4933214187622,4.4157549738884,33.0005049705505,69.4775104522705,14.5083025097847,19.6210011839867,32.5484961271286,17.4332439899445,74653
"Bosnia and Herzegovina","Europe and Central Asia","MICS","2011-2012",1.98544766753912,NA,3.53648625314236,1.70521643012762,69.4019019603729,5.71837462484837,2.21265237778425,0.207488890737295,2.23045721650124,0.165605323854834,19612
"Brazil","Latin America and the Caribbean","PNAD","2015",NA,2.44020614773035,12.2681334614754,0.862570106983185,4.44065034389496,36.8151426315308,15.4542908072472,0.273093674331903,1.78031697869301,0.669035874307156,355672
"Burkina Faso","Sub-Saharan Africa","DHS","2010",46.8967646360397,17.1156361699104,69.4753170013428,59.9633097648621,96.2200582027435,84.0084254741669,43.8377887010574,88.6040031909943,75.7271766662598,14.042940735817,39589
"Burundi","Sub-Saharan Africa","DHS","2016-2017",50.4288911819458,7.94277787208557,42.7390426397324,25.0639230012894,99.4782269001007,54.4700920581818,50.0699162483215,91.0966992378235,84.6523821353912,61.3549947738647,37960
"C“te d'Ivoire","Sub-Saharan Africa","MICS","2016",24.5521008968353,8.4636427462101,37.6383006572723,30.3695827722549,71.6168880462647,68.6516582965851,29.8478752374649,35.4135781526566,30.7815164327621,14.0139311552048,46805
"Cambodia","East Asia and the Pacific","DHS","2014",30.4190665483475,2.19493918120861,24.515289068222,12.7513900399208,83.4665894508362,52.0083010196686,37.1883004903793,42.5745576620102,36.7509841918945,7.92607739567757,46805
"Cameroon","Sub-Saharan Africa","MICS","2014",29.1123241186142,10.7582554221153,24.4061335921288,18.8933655619621,80.4731249809265,65.1303827762604,44.3681329488754,46.9167530536652,55.0782680511475,27.9681384563446,44740
"Central African Republic","Sub-Saharan Africa","MICS","2010",38.600093126297,41.9402569532394,38.9547526836395,33.4783345460892,99.5289206504822,78.1334817409515,62.6747488975525,89.4900619983673,85.3758037090302,40.1398599147797,50918
"Chad","Sub-Saharan Africa","DHS","2014-2015",48.992657661438,16.5758922696114,57.931923866272,52.9878079891205,96.6173231601715,92.6270306110382,65.0467932224274,91.5428340435028,93.0071592330933,46.5037643909454,62947
"China","East Asia and the Pacific","CFPS","2014",26.924866437912,0.063897657673806,6.00419715046883,3.37853692471981,33.5180759429932,5.93207031488419,28.9260387420654,0.241444841958582,NA,2.54539381712675,41275
